Train 72, loss: 0.787241, train acc: 0.943850, train avg acc: 0.914711, train iou: 0.838392
Test 72, loss: 0.818783, test acc: 0.916618, test avg acc: 0.900946, test iou: 0.783261
Train 73, loss: 0.787386, train acc: 0.943675, train avg acc: 0.913988, train iou: 0.838811
Test 73, loss: 0.829318, test acc: 0.908392, test avg acc: 0.912244, test iou: 0.765304
Train 74, loss: 0.787529, train acc: 0.943787, train avg acc: 0.913663, train iou: 0.836195
Test 74, loss: 0.829718, test acc: 0.906346, test avg acc: 0.820649, test iou: 0.750583
Train 75, loss: 0.785964, train acc: 0.944778, train avg acc: 0.916475, train iou: 0.840814
Test 75, loss: 0.832840, test acc: 0.907097, test avg acc: 0.836135, test iou: 0.756185
Train 76, loss: 0.784917, train acc: 0.945912, train avg acc: 0.916811, train iou: 0.840354
Test 76, loss: 0.820542, test acc: 0.917171, test avg acc: 0.856514, test iou: 0.782545
Train 77, loss: 0.786344, train acc: 0.944565, train avg acc: 0.915234, train iou: 0.839490
Test 77, loss: 0.830081, test acc: 0.911729, test avg acc: 0.829871, test iou: 0.756760
Train 78, loss: 0.785097, train acc: 0.945583, train avg acc: 0.916914, train iou: 0.841606
Test 78, loss: 0.831727, test acc: 0.904952, test avg acc: 0.846782, test iou: 0.752135
Train 79, loss: 0.784645, train acc: 0.946235, train avg acc: 0.917975, train iou: 0.843126
Test 79, loss: 0.825238, test acc: 0.914285, test avg acc: 0.884454, test iou: 0.774456
Train 80, loss: 0.785477, train acc: 0.945523, train avg acc: 0.915822, train iou: 0.843067
Test 80, loss: 0.815337, test acc: 0.921282, test avg acc: 0.878511, test iou: 0.788710
Train 81, loss: 0.784244, train acc: 0.946446, train avg acc: 0.917865, train iou: 0.843014
Test 81, loss: 0.836272, test acc: 0.903404, test avg acc: 0.887176, test iou: 0.771167
Train 82, loss: 0.784979, train acc: 0.945732, train avg acc: 0.917038, train iou: 0.840898
Test 82, loss: 0.822365, test acc: 0.914770, test avg acc: 0.862851, test iou: 0.778962
Train 83, loss: 0.784204, train acc: 0.946428, train avg acc: 0.918094, train iou: 0.843353
Test 83, loss: 0.869439, test acc: 0.883597, test avg acc: 0.838094, test iou: 0.736136
Train 84, loss: 0.783454, train acc: 0.946978, train avg acc: 0.918595, train iou: 0.845558
Test 84, loss: 0.819767, test acc: 0.916649, test avg acc: 0.876504, test iou: 0.786815
Train 85, loss: 0.783386, train acc: 0.946990, train avg acc: 0.918035, train iou: 0.845332
Test 85, loss: 0.817254, test acc: 0.917790, test avg acc: 0.870028, test iou: 0.784438
Train 86, loss: 0.782830, train acc: 0.947260, train avg acc: 0.919942, train iou: 0.849160
Test 86, loss: 0.827666, test acc: 0.912480, test avg acc: 0.854764, test iou: 0.772593
Train 87, loss: 0.782952, train acc: 0.947216, train avg acc: 0.919356, train iou: 0.844510
Test 87, loss: 0.826682, test acc: 0.911655, test avg acc: 0.876477, test iou: 0.778593
Train 88, loss: 0.784160, train acc: 0.946262, train avg acc: 0.916916, train iou: 0.844153
Test 88, loss: 0.859201, test acc: 0.887640, test avg acc: 0.797497, test iou: 0.717887
Train 89, loss: 0.783072, train acc: 0.947038, train avg acc: 0.918601, train iou: 0.846298
Test 89, loss: 0.814533, test acc: 0.920376, test avg acc: 0.896329, test iou: 0.783759
Train 90, loss: 0.782796, train acc: 0.947575, train avg acc: 0.919892, train iou: 0.845309
Test 90, loss: 0.831222, test acc: 0.911565, test avg acc: 0.823090, test iou: 0.756727
Train 91, loss: 0.783566, train acc: 0.947056, train avg acc: 0.918966, train iou: 0.845385
Test 91, loss: 0.824073, test acc: 0.915710, test avg acc: 0.833411, test iou: 0.773110
Train 92, loss: 0.782870, train acc: 0.947353, train avg acc: 0.918621, train iou: 0.845687
Test 92, loss: 0.825034, test acc: 0.913049, test avg acc: 0.883274, test iou: 0.775125
Train 93, loss: 0.783268, train acc: 0.947242, train avg acc: 0.919304, train iou: 0.845603
Test 93, loss: 0.845864, test acc: 0.899615, test avg acc: 0.837042, test iou: 0.744384
Train 94, loss: 0.782634, train acc: 0.947916, train avg acc: 0.919781, train iou: 0.847591
Test 94, loss: 0.822084, test acc: 0.915317, test avg acc: 0.820696, test iou: 0.765977
Train 95, loss: 0.781281, train acc: 0.948867, train avg acc: 0.921226, train iou: 0.850827
Test 95, loss: 0.828508, test acc: 0.911862, test avg acc: 0.876150, test iou: 0.777331
Train 96, loss: 0.782631, train acc: 0.947761, train avg acc: 0.919848, train iou: 0.848415
Test 96, loss: 0.817127, test acc: 0.918615, test avg acc: 0.860852, test iou: 0.782627
Train 97, loss: 0.780918, train acc: 0.949298, train avg acc: 0.921715, train iou: 0.851925
Test 97, loss: 0.833647, test acc: 0.908419, test avg acc: 0.892022, test iou: 0.773194
Train 98, loss: 0.780794, train acc: 0.949446, train avg acc: 0.921593, train iou: 0.851939
Test 98, loss: 0.825205, test acc: 0.914715, test avg acc: 0.857259, test iou: 0.778350
Train 99, loss: 0.782181, train acc: 0.948152, train avg acc: 0.919858, train iou: 0.847633
Test 99, loss: 0.830407, test acc: 0.908243, test avg acc: 0.904881, test iou: 0.757230
Train 100, loss: 0.780168, train acc: 0.949844, train avg acc: 0.921952, train iou: 0.851806
Test 100, loss: 0.820538, test acc: 0.916099, test avg acc: 0.891691, test iou: 0.786169
Train 101, loss: 0.780042, train acc: 0.949922, train avg acc: 0.922384, train iou: 0.852215
Test 101, loss: 0.816626, test acc: 0.921368, test avg acc: 0.866248, test iou: 0.790421
Train 102, loss: 0.779198, train acc: 0.950621, train avg acc: 0.922965, train iou: 0.855011
Test 102, loss: 0.837550, test acc: 0.903787, test avg acc: 0.775905, test iou: 0.730711
Train 103, loss: 0.780150, train acc: 0.949787, train avg acc: 0.922484, train iou: 0.853300
Test 103, loss: 0.821532, test acc: 0.916476, test avg acc: 0.897963, test iou: 0.785809
Train 104, loss: 0.779213, train acc: 0.950642, train avg acc: 0.923566, train iou: 0.852759
Test 104, loss: 0.823353, test acc: 0.912610, test avg acc: 0.894207, test iou: 0.775548
Train 105, loss: 0.778685, train acc: 0.951046, train avg acc: 0.923724, train iou: 0.857032
Test 105, loss: 0.817325, test acc: 0.919251, test avg acc: 0.890001, test iou: 0.789531
Train 106, loss: 0.779408, train acc: 0.950684, train avg acc: 0.923959, train iou: 0.855669
Test 106, loss: 0.832223, test acc: 0.909334, test avg acc: 0.819236, test iou: 0.749105
Train 107, loss: 0.778382, train acc: 0.951307, train avg acc: 0.923623, train iou: 0.855365
Test 107, loss: 0.824694, test acc: 0.915008, test avg acc: 0.859379, test iou: 0.776702
Train 108, loss: 0.778765, train acc: 0.951102, train avg acc: 0.924266, train iou: 0.855907
Test 108, loss: 0.869943, test acc: 0.873118, test avg acc: 0.862008, test iou: 0.736639
Train 109, loss: 0.778204, train acc: 0.951567, train avg acc: 0.925694, train iou: 0.856760
Test 109, loss: 0.815228, test acc: 0.921875, test avg acc: 0.861532, test iou: 0.789187
Train 110, loss: 0.776967, train acc: 0.952686, train avg acc: 0.926118, train iou: 0.862199
Test 110, loss: 0.822910, test acc: 0.915036, test avg acc: 0.852116, test iou: 0.772008
Train 111, loss: 0.777524, train acc: 0.952196, train avg acc: 0.926198, train iou: 0.858702
Test 111, loss: 0.817000, test acc: 0.921557, test avg acc: 0.870686, test iou: 0.788590
Train 112, loss: 0.778210, train acc: 0.951421, train avg acc: 0.925256, train iou: 0.857418
Test 112, loss: 0.821804, test acc: 0.916677, test avg acc: 0.846973, test iou: 0.774271
Train 113, loss: 0.777496, train acc: 0.952003, train avg acc: 0.925254, train iou: 0.860669
Test 113, loss: 0.823924, test acc: 0.916318, test avg acc: 0.855412, test iou: 0.778022
Train 114, loss: 0.777801, train acc: 0.951928, train avg acc: 0.925946, train iou: 0.859424
Test 114, loss: 0.818578, test acc: 0.919668, test avg acc: 0.863808, test iou: 0.787322
Train 115, loss: 0.776772, train acc: 0.952536, train avg acc: 0.925819, train iou: 0.862110
Test 115, loss: 0.818583, test acc: 0.919171, test avg acc: 0.862096, test iou: 0.787395
Train 116, loss: 0.776718, train acc: 0.952874, train avg acc: 0.926966, train iou: 0.860365
Test 116, loss: 0.812890, test acc: 0.924177, test avg acc: 0.884187, test iou: 0.799173
Train 117, loss: 0.777320, train acc: 0.952164, train avg acc: 0.926407, train iou: 0.858305
Test 117, loss: 0.817896, test acc: 0.919279, test avg acc: 0.882438, test iou: 0.790598
Train 118, loss: 0.776346, train acc: 0.953055, train avg acc: 0.926912, train iou: 0.861472
Test 118, loss: 0.816954, test acc: 0.918602, test avg acc: 0.875047, test iou: 0.784053
Train 119, loss: 0.775838, train acc: 0.953589, train avg acc: 0.928155, train iou: 0.861276
Test 119, loss: 0.825821, test acc: 0.914359, test avg acc: 0.886270, test iou: 0.788139
Train 120, loss: 0.775867, train acc: 0.953713, train avg acc: 0.927813, train iou: 0.860743
Test 120, loss: 0.813198, test acc: 0.923083, test avg acc: 0.878351, test iou: 0.795117
Train 121, loss: 0.776254, train acc: 0.953043, train avg acc: 0.926838, train iou: 0.861792
Test 121, loss: 0.816174, test acc: 0.921053, test avg acc: 0.866734, test iou: 0.792225
Train 122, loss: 0.776511, train acc: 0.952758, train avg acc: 0.927042, train iou: 0.859811
Test 122, loss: 0.814896, test acc: 0.924057, test avg acc: 0.868444, test iou: 0.798104
Train 123, loss: 0.775165, train acc: 0.953955, train avg acc: 0.928016, train iou: 0.861912
Test 123, loss: 0.815914, test acc: 0.920364, test avg acc: 0.897258, test iou: 0.781386
Train 124, loss: 0.774758, train acc: 0.954506, train avg acc: 0.929194, train iou: 0.863701
Test 124, loss: 0.815493, test acc: 0.923278, test avg acc: 0.856567, test iou: 0.788919
Train 125, loss: 0.775075, train acc: 0.953994, train avg acc: 0.927954, train iou: 0.864150
Test 125, loss: 0.811458, test acc: 0.925954, test avg acc: 0.874544, test iou: 0.799521
Train 126, loss: 0.775287, train acc: 0.953981, train avg acc: 0.928426, train iou: 0.863978
Test 126, loss: 0.816851, test acc: 0.919817, test avg acc: 0.856561, test iou: 0.784747
Train 127, loss: 0.775582, train acc: 0.953727, train avg acc: 0.928299, train iou: 0.864015
Test 127, loss: 0.822858, test acc: 0.917005, test avg acc: 0.849946, test iou: 0.772289
Train 128, loss: 0.775242, train acc: 0.954029, train avg acc: 0.928096, train iou: 0.863756
Test 128, loss: 0.820379, test acc: 0.918618, test avg acc: 0.856199, test iou: 0.781151
Train 129, loss: 0.775078, train acc: 0.954191, train avg acc: 0.929225, train iou: 0.865165
Test 129, loss: 0.813846, test acc: 0.923627, test avg acc: 0.892612, test iou: 0.795550
Train 130, loss: 0.774901, train acc: 0.954480, train avg acc: 0.928567, train iou: 0.865721
Test 130, loss: 0.812408, test acc: 0.924873, test avg acc: 0.879738, test iou: 0.795881
Train 131, loss: 0.774204, train acc: 0.955087, train avg acc: 0.930130, train iou: 0.867465
Test 131, loss: 0.812005, test acc: 0.923454, test avg acc: 0.900073, test iou: 0.799527
Train 132, loss: 0.774161, train acc: 0.955024, train avg acc: 0.929173, train iou: 0.865017
Test 132, loss: 0.813592, test acc: 0.922750, test avg acc: 0.869174, test iou: 0.792505
Train 133, loss: 0.773794, train acc: 0.955152, train avg acc: 0.930506, train iou: 0.864558
Test 133, loss: 0.812945, test acc: 0.923893, test avg acc: 0.874716, test iou: 0.795385
Train 134, loss: 0.773691, train acc: 0.955465, train avg acc: 0.930432, train iou: 0.868388
Test 134, loss: 0.809322, test acc: 0.926084, test avg acc: 0.889024, test iou: 0.804200
Train 135, loss: 0.773919, train acc: 0.955036, train avg acc: 0.930116, train iou: 0.864645
Test 135, loss: 0.809926, test acc: 0.925994, test avg acc: 0.877271, test iou: 0.800387
Train 136, loss: 0.773554, train acc: 0.955391, train avg acc: 0.930173, train iou: 0.868025
Test 136, loss: 0.813590, test acc: 0.925012, test avg acc: 0.867162, test iou: 0.795628
Train 137, loss: 0.773532, train acc: 0.955569, train avg acc: 0.929534, train iou: 0.868296
Test 137, loss: 0.810916, test acc: 0.925225, test avg acc: 0.879175, test iou: 0.799587
Train 138, loss: 0.772297, train acc: 0.956693, train avg acc: 0.932378, train iou: 0.871700
Test 138, loss: 0.813589, test acc: 0.922787, test avg acc: 0.896627, test iou: 0.797440
Train 139, loss: 0.772682, train acc: 0.956435, train avg acc: 0.931645, train iou: 0.871042
Test 139, loss: 0.812941, test acc: 0.922666, test avg acc: 0.884053, test iou: 0.792471
Train 140, loss: 0.772920, train acc: 0.956085, train avg acc: 0.930921, train iou: 0.870031
Test 140, loss: 0.813900, test acc: 0.923210, test avg acc: 0.859560, test iou: 0.792836
Train 141, loss: 0.772466, train acc: 0.956264, train avg acc: 0.931333, train iou: 0.868718
Test 141, loss: 0.812315, test acc: 0.924981, test avg acc: 0.885876, test iou: 0.796782
Train 142, loss: 0.772748, train acc: 0.956303, train avg acc: 0.932082, train iou: 0.870777
Test 142, loss: 0.813727, test acc: 0.925126, test avg acc: 0.866491, test iou: 0.794701
Train 143, loss: 0.772280, train acc: 0.956395, train avg acc: 0.931844, train iou: 0.869383
Test 143, loss: 0.812514, test acc: 0.924888, test avg acc: 0.895579, test iou: 0.801031
Train 144, loss: 0.771851, train acc: 0.957109, train avg acc: 0.933339, train iou: 0.873985
Test 144, loss: 0.816448, test acc: 0.921149, test avg acc: 0.853696, test iou: 0.788856
Train 145, loss: 0.771219, train acc: 0.957602, train avg acc: 0.933219, train iou: 0.873835
Test 145, loss: 0.812972, test acc: 0.924292, test avg acc: 0.873972, test iou: 0.794838
Train 146, loss: 0.771782, train acc: 0.957018, train avg acc: 0.932938, train iou: 0.871799
Test 146, loss: 0.810737, test acc: 0.925395, test avg acc: 0.883057, test iou: 0.799965
Train 147, loss: 0.771425, train acc: 0.957374, train avg acc: 0.932784, train iou: 0.872244
Test 147, loss: 0.812685, test acc: 0.924248, test avg acc: 0.886257, test iou: 0.796545
Train 148, loss: 0.771768, train acc: 0.957066, train avg acc: 0.933438, train iou: 0.870779
Test 148, loss: 0.812493, test acc: 0.924072, test avg acc: 0.881418, test iou: 0.798067
Train 149, loss: 0.771374, train acc: 0.957396, train avg acc: 0.932465, train iou: 0.871382
Test 149, loss: 0.811702, test acc: 0.924669, test avg acc: 0.894135, test iou: 0.801154
Train 150, loss: 0.771593, train acc: 0.957252, train avg acc: 0.933775, train iou: 0.872304
Test 150, loss: 0.811233, test acc: 0.925611, test avg acc: 0.897147, test iou: 0.803300
Train 151, loss: 0.771328, train acc: 0.957409, train avg acc: 0.932380, train iou: 0.871204
Test 151, loss: 0.810155, test acc: 0.926062, test avg acc: 0.883598, test iou: 0.802730
